- - Факты
- - Общий вид фактов: Num;Название;Описание;Вероятность
- - Вспомогательные факты
f0;Взят один классовый навык;0.5;
f1;Взято два классовых навыка;0.5;
f2;Взято три классовых навыка;0.5;
f3;Взято четыре классовых навыка;0.5;

f4;Взят один навык магии Света;0.5;
f5;Взято два навыка магии Света;0.5;
f6;Взято три навыка магии Света;0.5;

f7;Взят один навык магии Тьмы;0.5;
f8;Взято два навыка магии Тьмы;0.5;
f9;Взято три навыка магии Тьмы;0.5;

f10;Взят один навык магии Хаоса;0.5;
f11;Взято два навыка магии Хаоса;0.5;
f12;Взято три навыка магии Хаоса;0.5;

f13;Взят один навык магии Призыва;0.5;
f14;Взято два навыка магии Призыва;0.5;
f15;Взято три навыка магии Призыва;0.5;

f16;Взят один навык Чародейства;0.5;
f17;Взято два навыка Чародейства;0.5;
f18;Взято три навыка Чародейства;0.5;

f19;Взят один навык Атаки;0.5;
f20;Взято два навыка Атаки;0.5;
f21;Взято три навыка Атаки;0.5;

f22;Взят один навык Защиты;0.5;
f23;Взято два навыка Защиты;0.5;
f24;Взято три навыка Защиты;0.5;

f25;Взят один навык Удачи;0.5;
f26;Взято два навыка Удачи;0.5;
f27;Взято три навыка Удачи;0.5;

f28;Взят один навык Лидерства;0.5;
f29;Взято два навыка Лидерства;0.5;
f30;Взято три навыка Лидерства;0.5;

f31;Взят один навык Логистики;0.5;
f32;Взято два навыка Логистики;0.5;
f33;Взято три навыка Логистики;0.5;

f34;Взят один навык Образования;0.5;
f35;Взято два навыка Образования;0.5;
f36;Взято три навыка Образования;0.5;

f37;Взят один навык Управления машинами;0.5;
f38;Взято два навыка Управления машинами;0.5;
f39;Взято три навыка Управления машинами;0.5;

f40;Взято ноль веток навыков;0.5;
f41;Взята одна ветока навыков;0.5;
f42;Взято две ветки навыков;0.5;
f43;Взято три ветки навыков;0.5;
f44;Взято четрые ветки навыков;0.5;
f45;Взято пять веток навыков;0.5;

f46;Твой класс Варвар;0.5;
f47;Твой класс П. Демонов;0.5;
f48;Твой класс Рыцарь;0.5;
f49;Твой класс Некромант;0.5;
f50;Твой класс Рейнджер;0.5;
f51;Твой класс Рунный жрец;0.5;
f52;Твой класс Чернокнижник;0.5;
f53;Твой класс Маг;0.5;

- - Навыки варвара
- - Классовые
f54;Основы гнева крови;0.5;
f55;Развитый гнев крови;0.5;
f56;Искусный гнев крови;0.5;
f57;Абсолютный гнев крови;0.5;

f58;Сила против Магии;0.5;
f59;Подмога;0.5;
f60;Память нашей крови;0.5;
f61;Чистая ярость;0.5;

- - Свет
f62;Основы приглушения Света;0.5;
f63;Развитое приглушения Света;0.5;
f64;Искусное приглушения Света;0.5;

f65;Порча Света;0.5;
f66;Удержание Света;0.5;
f67;Ослабление Света;0.5;
f68;Защита от Огня;0.5;
f69;Тайны Света;0.5;
f70;Штормовой ветер;0.5;

- - Тьма
f71;Основы приглушения Тьмы;0.5;
f72;Развитое приглушения Тьмы;0.5;
f73;Искусное приглушения Тьмы;0.5;

f74;Порча Тьмы;0.5;
f75;Удержание Тьмы;0.5;
f76;Ослабление Тьмы;0.5;
f77;Ослабляющий удар;0.5;
f78;Проклятая земля;0.5;

- -Хаос
f79;Основы разрушения магии Хаоса;0.5;
f80;Продвинутое разрушение магии Хаоса;0.5;
f81;Экспертное разрушение магии Хаоса;0.5;

f82;Порча Хаоса;0.5;
f83;Удержание Хаоса;0.5;
f84;Ослабление Хаоса;0.5;
f85;Взрыв маны;0.5;
f86;Огненная ярость;0.5;

- -Призыв
f87;Основы разрушения магии Призыва;0.5;
f88;Продвинутое разрушение магии Призыва;0.5;
